Feature,Spearman_r,P_adj_FDR,Significant_FDR05,Mean_SHAP,L1_coef,Stability_Freq,Direction
BMI,-0.02202513215730273,0.89553327961402,False,2.3029816,0.0,1.0,Negative
TC,-0.03521366200089205,0.89553327961402,False,1.6472487,0.0,1.0,Negative
ADL_Eating,-0.07878031979698581,0.2540445595649311,False,1.3655502,0.0,0.59,Negative
HDL_C,0.01389841673447479,0.89553327961402,False,1.3587286,0.0,0.95,Positive
ADL_Total,-0.053203517473315774,0.89553327961402,False,1.345928,0.0,0.83,Negative
LDL_C,0.009876766064914007,0.89553327961402,False,1.3178419,0.0,0.94,Positive
TG,-0.0157614110431769,0.89553327961402,False,1.2418528,0.0,0.95,Negative
FastingGlucose,-0.02045921551122343,0.89553327961402,False,1.1772301,0.0,0.94,Negative
UricAcid,-0.009622006575595235,0.89553327961402,False,1.1310714,0.0,0.94,Negative
IADL_Finance,0.024910269933367923,0.89553327961402,False,0.98901814,0.0,0.29,Positive
ADL_Toilet,-0.03537398697704509,0.89553327961402,False,0.7785742,0.0,0.31,Negative
IADL_Cooking,-0.0050757937220191,0.964297942254623,False,0.6931921,0.0,0.13,Negative
IADL_Total,0.02047622118278401,0.89553327961402,False,0.6485171,0.0,0.34,Positive
ADL_Dressing,-0.0031144258894378767,0.964297942254623,False,0.5654945,0.0,0.08,Negative
Activity_Total,-0.017826971319360417,0.89553327961402,False,0.54519105,0.0,0.23,Negative
ADL_Bathing,0.026873572108708086,0.89553327961402,False,0.5223093,0.0,0.09,Positive
IADL_Transport,0.023453756454769988,0.89553327961402,False,0.5115623,0.0,0.18,Positive
ADL_Walking,-0.0014172337634671898,0.964297942254623,False,0.4451658,0.0,0.04,Negative
IADL_Shopping,0.01615482029549531,0.89553327961402,False,0.44233045,0.0,0.14,Positive
IADL_Medication,-0.011501960881670253,0.89553327961402,False,0.37824708,0.0,0.03,Negative
